fecha,dia_semana,nombre_dia,evento,evento_nombre,clima,clima_nombre,ocupacion,pickup_ratio,precio_competencia,demanda_observada,precio_aplicado,los_dias,huespedes,habitaciones,segmento_mercado,segmento_nombre,dispositivo,dispositivo_nombre,divisa,divisa_nombre
2025-03-01,5,Sáb,EventType.WEEKEND,WEEKEND,WeatherType.SUNNY,SUNNY,0.7328,1.3883,119.38,20,127.9,1,3,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-02,6,Dom,EventType.WEEKEND,WEEKEND,WeatherType.CLOUDY,CLOUDY,0.5862,1.5592,118.0,13,131.62,1,3,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-03,0,Lun,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.5223,0.9868,111.0,14,111.02,3,5,5,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-03-04,1,Mar,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.5823,1.1233,122.75,16,109.54,2,3,2,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-03-05,2,Mié,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.5372,0.9227,114.36,14,104.59,1,1,1,MarketSegment.LOCAL,LOCAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-03-06,3,Jue,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.5696,1.0131,115.24,13,124.18,1,3,2,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-07,4,Vie,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.7682,1.1122,124.55,18,124.68,2,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-08,5,Sáb,EventType.WEEKEND,WEEKEND,WeatherType.RAIN,RAIN,0.7458,1.4798,136.66,20,133.33,1,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.GBP,GBP
2025-03-09,6,Dom,EventType.WEEKEND,WEEKEND,WeatherType.SUNNY,SUNNY,0.4493,1.1848,114.88,8,109.06,2,2,2,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-03-10,0,Lun,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.3942,0.9483,103.37,6,109.77,2,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-03-11,1,Mar,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.5518,1.0199,105.78,13,115.79,1,3,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-12,2,Mié,EventType.NONE,NONE,WeatherType.CLOUDY,CLOUDY,0.6488,0.9613,112.72,14,104.99,1,2,1,MarketSegment.LOCAL,LOCAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-13,3,Jue,EventType.NONE,NONE,WeatherType.CLOUDY,CLOUDY,0.5374,1.1975,118.67,12,121.82,4,4,1,MarketSegment.LOCAL,LOCAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-03-14,4,Vie,EventType.NONE,NONE,WeatherType.RAIN,RAIN,0.77,1.1045,134.64,20,135.48,1,2,1,MarketSegment.INTERNATIONAL,INTERNATIONAL,DeviceType.TABLET,TABLET,CurrencyType.GBP,GBP
2025-03-15,5,Sáb,EventType.WEEKEND,WEEKEND,WeatherType.CLOUDY,CLOUDY,0.7089,1.2888,127.79,16,124.64,1,2,1,MarketSegment.LOCAL,LOCAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-16,6,Dom,EventType.WEEKEND,WEEKEND,WeatherType.CLOUDY,CLOUDY,0.4937,1.3811,119.92,7,132.2,2,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
2025-03-17,0,Lun,EventType.NONE,NONE,WeatherType.PARTLY_CLOUDY,PARTLY_CLOUDY,0.4582,1.0452,113.25,11,102.23,3,2,1,MarketSegment.NATIONAL,NATIONAL,DeviceType.DESKTOP,DESKTOP,CurrencyType.EUR,EUR
2025-03-18,1,Mar,EventType.NONE,NONE,WeatherType.SUNNY,SUNNY,0.5533,1.0733,121.59,17,108.53,2,4,1,MarketSegment.LOCAL,LOCAL,DeviceType.MOBILE,MOBILE,CurrencyType.EUR,EUR
