"AccountKey","AccountCode","AccountName","AccountType","FinancialClass","IsRevenue","IsExpense","DepartmentDefault","OrderBy"
"1","401000","Ingreso Habitaciones","Ingreso","Revenue","True","False","Habitaciones","1"
"2","402000","Ingreso Restaurante","Ingreso","Revenue","True","False","Restaurante","2"
"3","403000","Ingreso Bar & Terraza","Ingreso","Revenue","True","False","Restaurante","3"
"4","404000","Ingreso Spa","Ingreso","Revenue","True","False","Spa","4"
"5","405000","Ingreso Eventos","Ingreso","Revenue","True","False","Eventos","5"
"6","406000","Otros Ingresos","Ingreso","Revenue","True","False","Habitaciones","6"
"7","501000","Gastos de Personal","Gasto","OpEx","False","True","General","7"
"8","502000","Limpieza y LavanderÃ­a","Gasto","OpEx","False","True","Habitaciones","8"
"9","503000","Suministros y Amenities","Gasto","COGS","False","True","Habitaciones","9"
"10","504000","Marketing y Comisiones","Gasto","OpEx","False","True","General","10"
"11","505000","Mantenimiento y Reparaciones","Gasto","OpEx","False","True","General","11"
"12","506000","Servicios PÃºblicos (Luz, Agua, Gas)","Gasto","OpEx","False","True","General","12"
"13","507000","Gastos Administrativos","Gasto","OpEx","False","True","General","13"
"14","508000","Seguros y Licencias","Gasto","Fixed","False","True","General","14"
"15","509000","Coste F&B (Food Cost)","Gasto","COGS","False","True","Restaurante","15"
"16","510000","Coste Productos Spa","Gasto","COGS","False","True","Spa","16"
"17","511000","Comisiones OTAs","Gasto","COGS","False","True","Habitaciones","17"
"18","512000","Gastos Varios","Gasto","OpEx","False","True","General","18"
"19","601000","DepreciaciÃ³n y AmortizaciÃ³n","Gasto","NonOp","False","True","General","19"
"20","602000","Gastos Financieros","Gasto","NonOp","False","True","General","20"
