"DateKey","Year","MonthNumber","MonthName","MonthShort","Quarter","YearQuarter","DiasDelMes","WeekendDays","WeekdayDays","Estacion","IsTemporadaAlta","Periodo"
"20250101","2025","1","enero","ene","Q1","2025-Q1","31","8","23","Temporada Baja - Invierno","False","2025-01"
"20250201","2025","2","febrero","feb","Q1","2025-Q1","28","8","20","Temporada Baja - Invierno","False","2025-02"
"20250301","2025","3","marzo","mar","Q1","2025-Q1","31","10","21","Temporada Media - Inicio Primavera","True","2025-03"
"20250401","2025","4","abril","abr","Q2","2025-Q2","30","8","22","Temporada MUY Alta - Semana Santa","True","2025-04"
"20250501","2025","5","mayo","may","Q2","2025-Q2","31","9","22","Temporada Alta - Primavera","True","2025-05"
"20250601","2025","6","junio","jun","Q2","2025-Q2","30","9","21","Temporada MUY Alta - Corpus Christi","True","2025-06"
"20250701","2025","7","julio","jul","Q3","2025-Q3","31","8","23","Temporada Baja - Calor","False","2025-07"
"20250801","2025","8","agosto","ago","Q3","2025-Q3","31","10","21","Temporada Baja - Calor extremo","False","2025-08"
"20250901","2025","9","septiembre","sep","Q3","2025-Q3","30","8","22","Temporada Alta - Vuelta turismo","True","2025-09"
"20251001","2025","10","octubre","oct","Q4","2025-Q4","31","8","23","Temporada Alta - OtoÃ±o","True","2025-10"
"20251101","2025","11","noviembre","nov","Q4","2025-Q4","30","10","20","Temporada Media - OtoÃ±o tardÃ­o","False","2025-11"
"20251201","2025","12","diciembre","dic","Q4","2025-Q4","31","8","23","Temporada Media - Navidad","True","2025-12"
