"DateKey","Year","Month","MonthName","ADR_Actual","ADR_Budget","Ocupacion_Actual","Ocupacion_Budget","NochesOcupadas_Actual","NochesOcupadas_Budget","HabitacionesDisponibles","RevPAR_Actual","RevPAR_Budget"
"20250101","2025","1","enero","162,82","170,15","43,3","40,9","161","152","372","70,57","69,55"
"20250201","2025","2","febrero","166,1","159,26","42,3","42,7","142","144","336","70,24","68,08"
"20250301","2025","3","marzo","191,28","196,28","56","60,5","208","225","372","107,16","118,67"
"20250401","2025","4","abril","295,79","305,88","93,7","92,2","337","332","360","277,21","281,89"
"20250501","2025","5","mayo","268,67","262,93","79,8","83,5","297","310","372","214,52","219,45"
"20250601","2025","6","junio","318,85","313,07","92,9","93","335","335","360","296,3","291,05"
"20250701","2025","7","julio","161,77","154,12","42,2","42,2","157","157","372","68,33","65,11"
"20250801","2025","8","agosto","157,82","151,06","34,1","37,7","127","140","372","53,89","57"
"20250901","2025","9","septiembre","233,98","241,46","83,2","82,4","300","297","360","194,78","199,03"
"20251001","2025","10","octubre","226,18","231,97","81,7","82","304","305","372","184,77","190,11"
"20251101","2025","11","noviembre","191,97","192,22","59,2","58,9","213","212","360","113,63","113,19"
"20251201","2025","12","diciembre","217,21","223,68","67,6","65,2","251","243","372","146,76","145,9"
