"DateKey","AccountKey","DepartmentKey","Amount","Scenario","Version","Currency","LastModified"
"20250101","1","1","25864","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","2","2","12480","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","3","2","3852","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","4","3","3546","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","5","4","2049","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","6","1","1387","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","7","5","18148","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","8","1","3976","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","9","1","1629","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","10","5","2182","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","11","5","3271","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","12","5","2223","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","13","5","3214","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","14","5","1450","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","15","2","5421","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","16","3","700","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","17","1","3600","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","18","5","1063","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","19","5","4200","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250101","20","5","1800","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250201","1","1","22934","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250201","2","2","11478","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250201","3","2","3625","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250201","4","3","3187","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250201","5","4","2003","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250201","6","1","1310","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250201","7","5","16364","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250201","8","1","4006","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250201","9","1","1599","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250201","10","5","2014","Budget","Presupuesto 2025","EUR","2024-12-15"
"20250201","11","5","3091","Budget","Presupuesto 2025","EUR","2024-12-15"
