"DateKey","AccountKey","DepartmentKey","Amount","Scenario","Version","Currency","LastModified"
"20250101","1","1","26214","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","2","2","12099","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","3","2","3980","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","4","3","3329","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","5","4","1933","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","6","1","1402","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","7","5","18546","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","8","1","4069","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","9","1","1703","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","10","5","2176","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","11","5","3035","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","12","5","2351","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","13","5","3046","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","14","5","1415","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","15","2","5811","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","16","3","734","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","17","1","3824","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","18","5","1062","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","19","5","4200","Actual","Cierre Mensual","EUR","2025-01-28"
"20250101","20","5","1701","Actual","Cierre Mensual","EUR","2025-01-28"
"20250201","1","1","23587","Actual","Cierre Mensual","EUR","2025-02-28"
"20250201","2","2","11207","Actual","Cierre Mensual","EUR","2025-02-28"
"20250201","3","2","3334","Actual","Cierre Mensual","EUR","2025-02-28"
"20250201","4","3","3312","Actual","Cierre Mensual","EUR","2025-02-28"
"20250201","5","4","1804","Actual","Cierre Mensual","EUR","2025-02-28"
"20250201","6","1","1245","Actual","Cierre Mensual","EUR","2025-02-28"
"20250201","7","5","16653","Actual","Cierre Mensual","EUR","2025-02-28"
"20250201","8","1","4030","Actual","Cierre Mensual","EUR","2025-02-28"
"20250201","9","1","1526","Actual","Cierre Mensual","EUR","2025-02-28"
