booking_id,arrival_date,departure_date,room_cat_id,guests,channel,rate_paid_eur,days_before_arrival,status
BK-00001,2025-01-01,2025-01-02,sup-001,1,DIRECT,200.61,26,CONFIRMED
BK-00002,2025-01-01,2025-01-02,dob-001,2,DIRECT,157.12,7,CONFIRMED
BK-00003,2025-01-01,2025-01-03,sup-001,2,DIRECT,213.4,81,CONFIRMED
BK-00004,2025-01-01,2025-01-02,dob-001,1,AIRBNB,136.75,46,CONFIRMED
BK-00005,2025-01-01,2025-01-03,sui-001,3,EXPEDIA,263.87,64,CONFIRMED
BK-00006,2025-01-01,2025-01-03,sui-001,2,AIRBNB,238.05,41,CONFIRMED
BK-00007,2025-01-01,2025-01-02,dob-001,1,DIRECT,159.81,40,CONFIRMED
BK-00008,2025-01-01,2025-01-02,dob-001,2,DIRECT,163.77,72,CONFIRMED
BK-00009,2025-01-01,2025-01-03,dob-001,1,DIRECT,164.99,28,NO_SHOW
BK-00010,2025-01-01,2025-01-03,sui-001,1,DIRECT,276.92,25,CONFIRMED
BK-00011,2025-01-01,2025-01-05,dob-001,1,AIRBNB,141.91,9,CONFIRMED
BK-00012,2025-01-01,2025-01-02,dob-001,1,BOOKING,155.97,72,CONFIRMED
BK-00013,2025-01-01,2025-01-02,dob-001,2,AIRBNB,144.32,54,CONFIRMED
BK-00014,2025-01-01,2025-01-02,sup-001,2,DIRECT,209.86,47,NO_SHOW
BK-00015,2025-01-02,2025-01-05,sui-001,3,DIRECT,287.5,29,CONFIRMED
BK-00016,2025-01-02,2025-01-03,dob-001,2,BOOKING,146.45,41,CONFIRMED
BK-00017,2025-01-02,2025-01-03,dob-001,2,AIRBNB,137.55,27,CONFIRMED
BK-00018,2025-01-02,2025-01-04,sup-001,2,EXPEDIA,190.34,23,CONFIRMED
BK-00019,2025-01-02,2025-01-06,dob-001,2,AIRBNB,148.87,83,CONFIRMED
BK-00020,2025-01-02,2025-01-04,dob-001,2,DIRECT,155.98,59,CONFIRMED
BK-00021,2025-01-02,2025-01-04,dob-001,2,DIRECT,165.72,50,CONFIRMED
BK-00022,2025-01-02,2025-01-03,dob-001,2,AIRBNB,142.75,69,CONFIRMED
